symbol,date,sentiment
BAC,2025-11-24,0.0
BAC,2025-12-05,-0.2732
BAC,2025-12-15,0.9306
BAM,2025-12-31,0.9485
BB,2025-02-11,0.19975
BB,2025-08-27,0.5267
BB,2025-08-28,0.1909
BB,2025-08-30,0.0
BBAI,2025-03-27,0.4215
BBAI,2025-08-22,-0.1027
BBAI,2025-08-29,0.0772
BCS,2025-11-15,0.6486
BE,2025-11-22,0.0
BGM,2025-11-26,0.3612
BIDU,2025-12-31,-0.5994
BKR,2025-09-08,0.5106
BKR,2025-09-09,0.11985000000000001
BKR,2025-09-10,0.5267
BKX,2025-07-15,0.5106
BKX,2025-08-05,0.4512
BLK,2025-04-10,0.0
BLK,2025-04-11,0.02034999999999998
BLK,2025-07-15,0.24914999999999998
BLK,2025-10-24,0.3818
BLK,2025-11-12,0.0
BLK,2025-11-28,0.0
BLSH,2025-08-27,0.0
BMNR,2025-12-15,0.2023
BOIL,2025-03-10,0.0
BP,2025-03-04,-0.101
BP,2025-05-05,-0.3182
BP,2025-05-20,0.8225
BP,2025-06-18,0.9458
BP,2025-06-24,-0.2263
BP,2025-06-27,0.2732
BP,2025-12-23,0.7964
BRK.A,2025-05-06,0.0
BRK.B,2025-01-11,0.0
BRK.B,2025-02-23,0.8036
BRK.B,2025-04-08,0.0258
BRK.B,2025-05-31,0.0
BRK.B,2025-07-17,-0.2411
BRK.B,2025-08-23,0.7184
BRK.B,2025-11-26,0.4215
BRK.B,2025-12-14,0.9819
BROKE.X,2025-08-27,0.0
BRZE,2025-12-10,0.0
BTC,2025-05-19,0.4019
BTC,2025-06-04,0.5267
BTC,2025-11-24,0.0
BTC,2025-12-29,0.2263
BTC.X,2025-01-13,0.25
BTC.X,2025-01-14,0.0516
BTC.X,2025-01-15,0.0
BTC.X,2025-02-12,-0.4939
BTC.X,2025-04-05,-0.3913
BTC.X,2025-04-11,-0.7216
BTC.X,2025-05-19,-0.016
BTC.X,2025-05-20,-0.36755
BTC.X,2025-05-21,0.0
BTC.X,2025-05-22,0.7135
BTC.X,2025-05-26,0.0
BTC.X,2025-05-30,0.4019
BTC.X,2025-05-31,0.2023
BTC.X,2025-06-04,0.3818
BTC.X,2025-06-17,0.0
BTC.X,2025-07-16,0.2023
BTC.X,2025-07-22,0.2732
BTC.X,2025-08-27,0.4215
BTC.X,2025-11-21,0.43315
BTC.X,2025-11-24,0.32389999999999997
BTC.X,2025-11-25,-0.4005
BTC.X,2025-11-26,0.0772
BTC.X,2025-11-27,-0.0006000000000000172
BTC.X,2025-11-28,-0.65425
BTC.X,2025-12-02,0.0
BTC.X,2025-12-04,-0.0644
BTC.X,2025-12-09,-0.0009
BTC.X,2025-12-12,-0.4211
BTC.X,2025-12-16,-0.1806
BTC.X,2025-12-17,0.4019
BTC.X,2025-12-18,0.4588
BTC.X,2025-12-19,-0.5106
BTC.X,2025-12-20,0.296
BUD,2025-05-27,0.2023
BUD,2025-07-21,0.1695
BULL,2025-08-29,-0.0772
BYDDY,2025-12-31,-0.1551
BYND,2025-08-20,0.5423
C,2025-01-13,0.5323666666666667
C,2025-01-14,0.4767
C,2025-01-15,0.0
C,2025-01-16,-0.23835
C,2025-01-23,0.0267
C,2025-02-20,0.8885
C,2025-02-22,-0.4588
C,2025-03-25,0.0
C,2025-04-04,0.0
C,2025-05-30,0.0
C,2025-06-05,0.2732
C,2025-06-16,0.5859
C,2025-07-14,0.6486
C,2025-07-15,0.42673333333333335
C,2025-07-17,0.4019
C,2025-07-19,0.4019
C,2025-07-21,0.7964
C,2025-07-24,0.0
C,2025-10-16,0.7184
C,2025-11-23,0.0
C,2025-12-12,0.0
C,2025-12-24,-0.296
CADL,2025-02-27,0.3612
CALM,2025-07-21,0.0
CAPS,2025-11-26,-0.7964
CAPS,2025-11-29,-0.66155
CAT,2025-12-17,0.4215
CBRL,2025-08-26,-0.4717
CCF,2025-01-15,0.296
CCL,2025-05-30,0.0
